OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,COORD_X,COORD_Y
247,      0.09296785823,      0.00020561716,West Concourse,247,Bronx, 1005169.123027326200000,  241308.757075198780000
248,      0.05691911677,      0.00014959277,West Farms/Bronx River,248,Bronx, 1019590.376103497600000,  243211.978776215230000
249,      0.03638434365,      0.00007221560,West Village,249,Manhattan,  983453.224648345730000,  206902.407995289950000
250,      0.07962634655,      0.00024097585,Westchester Village/Unionport,250,Bronx, 1026135.800629395900000,  242470.435058917120000
251,      0.13771116110,      0.00062575498,Westerleigh,251,Staten Island,  949450.134478874390000,  164047.365149706630000
252,      0.15800437356,      0.00102526406,Whitestone,252,Queens, 1035297.158430071500000,  226490.626840808080000
253,      0.03605149982,      0.00007833958,Willets Point,253,Queens, 1028229.945252206500000,  216434.846866127280000
254,      0.08588637549,      0.00036004022,Williamsbridge/Olinville,254,Bronx, 1023253.960894140900000,  260702.714185304650000
255,      0.06238419977,      0.00017230918,Williamsburg (North Side),255,Brooklyn,  996053.803305200300000,  201159.033353460750000
256,      0.06791496696,      0.00016861110,Williamsburg (South Side),256,Brooklyn,  995365.878082168870000,  198271.799699528000000
257,      0.05866902598,      0.00013890947,Windsor Terrace,257,Brooklyn,  990359.381594247300000,  177405.496669279030000
258,      0.08901337877,      0.00036620962,Woodhaven,258,Queens, 1024249.871623735100000,  190229.069621035070000
259,      0.12675030519,      0.00039455249,Woodlawn/Wakefield,259,Bronx, 1025106.230787164200000,  266453.414552280390000
260,      0.13351415464,      0.00042234533,Woodside,260,Queens, 1010211.977342698800000,  210434.891894150410000
261,      0.02712045636,      0.00003434232,World Trade Center,261,Manhattan,  980639.511767549560000,  197635.173702467410000
262,      0.04906362315,      0.00012233027,Yorkville East,262,Manhattan,  999064.725082433900000,  221974.400787808000000
263,      0.03701662530,      0.00006576977,Yorkville West,263,Manhattan,  997817.919661101890000,  223005.988409449720000
